print(Forces_Data)
[62, 3, 2, 2, 14.2462, 1.9978, -1.0027, 0.00251, 5.125481783734561, -5.125481783734561, 5125.481783734562], 
[63, 3, 3, 2, 14.8483, 1.9978, -1.0029, 0.00244, -0.0, -5.132048962235281, 5132.048962235281], 
[64, 3, 4, 2, 15.4504, 1.9978, -1.0029, 0.00244, -0.0, -5.132048962235281, 5132.048962235281], 
[65, 3, 5, 2, 16.0525, 1.9978, -1.0028, 0.0024, -0.0, -5.135801635664263, 5135.801635664263], 
[66, 3, 6, 2, 16.6545, 1.9978, -1.0026, 0.00237, -0.0, -5.138616140736, 5138.616140736], 
[67, 3, 7, 2, 17.2566, 1.9978, -1.0021, 0.00226, -5.148935992665701, -0.0, 5148.935992665701], 
[68, 3, 8, 2, 17.8587, 1.9978, -1.0008, 0.00206, -15.503098079431837, -0.0, 5167.699359810612], 
[69, 3, 1, 3, 15.1255, 3.1116, -1.0008, 0.00307, 10.251716381890049, -15.377574572835073, 2562.929095472512], 
[70, 3, 2, 3, 15.5088, 3.1116, -1.0017, 0.00251, 0.0, -2.5894718078295234, 2589.471807829523], 
71, 3, 3, 3, 15.8921, 3.1116, -1.0018, 0.00244, -0.0, -2.5927896468741496, 2592.7896468741496], 
[72, 3, 4, 3, 16.2753, 3.1116, -1.0018, 0.00244, -0.0, -2.5927896468741496, 2592.7896468741496], 
[73, 3, 5, 3, 16.6586, 3.1116, -1.0018, 0.0024, -0.0, -2.5946855548996504, 2594.6855548996505], 
[74, 3, 6, 3, 17.0419, 3.1116, -1.0017, 0.00237, -0.0, -2.596107485918776, 2596.1074859187756], 
[75, 3, 7, 3, 17.4252, 3.1116, -1.0013, 0.00226, -2.6013212329889033, -0.0, 2601.3212329889034], 
[76, 3, 8, 3, 17.8085, 3.1116, -1.0005, 0.00206, -7.832402319349222, -0.0, 2610.800773116407], 
[77, 3, 1, 4, 16.2017, 3.9209, -1.0005, 0.00307, 3.8532126157448032, -5.7798189236172055, 963.3031539362008], 
[78, 3, 2, 4, 16.4261, 3.9209, -1.001, 0.00251, 0.0, -0.9732795042662579, 973.2795042662578], 
[79, 3, 3, 4, 16.6504, 3.9209, -1.0011, 0.00244, -0.0, -0.974526548057515, 974.526548057515], 
[80, 3, 4, 4, 16.8747, 3.9209, -1.0011, 0.00244, -0.0, -0.974526548057515, 974.526548057515], 
[81, 3, 5, 4, 17.099, 3.9209, -1.001, 0.0024, -0.0, -0.975239144509662, 975.239144509662], 
